ID	t	A0	notFoundBySE
200	14	0.283032	
201	0	0.456131	
201	1	0.440325	
201	3	0.404735	
201	5	0.361438	
201	7	0.335371	
201	10	0.477487	
201	14	0.262251	
202	0	0.500011	
202	1	0.413563	
202	3	0.417161	
202	5	0.405795	
202	7	0.359599	
203	0	0.571078	
203	3	0.510769	
203	5	0.465479	
203	7	0.431966	
203	10	0.416194	
203	14	0.328175	
204	0	0.612168	
204	1	0.501019	
204	3	0.507428	
204	5	0.506565	
204	7	0.477562	
204	10	0.437466	
204	14	0.393233	
205	0	0.447716	
205	1	0.433546	
205	3	0.40377	
205	5	0.366888	
205	7	0.330573	
205	10	0.32973	
205	14	0.29307	
206	0	0.578376	
206	1	0.568238	
206	3	0.520298	
206	5	0.490238	
206	7	0.44959	
206	10	0.399362	
206	14	0.34294	
207	0	0.268576	
207	1	0.267851	
207	7	0.490566	
207	14	0.138365	
208	0	0.609032	
208	1	0.60924	
208	3	0.56292	
208	10	0.561765	
209	0	0.467591	
209	1	0.428268	
209	3	0.391371	
209	7	0.376697	
209	10	0.316929	
210	0	0.407524	
210	1	0.396881	
210	3	0.321693	
210	7	0.294779	
210	10	0.27104	
211	0	0.488779	
211	1	0.488187	
211	3	0.438292	
211	10	0.3476	
212	0	0.568103	
212	1	0.566966	
212	3	0.53303	
212	5	0.505271	
212	7	0.475135	
212	10	0.443883	
212	14	0.40414	
213	0	0.374767	
213	1	0.364106	
213	3	0.323051	
213	7	0.265466	
213	10	0.24683	
213	14	0.171526	
214	0	0.622851	
214	7	0.033823	
214	10	0.351504	
214	14	0.227259	
215	3	0.466698	
215	5	0.403436	
215	7	0.400208	
215	14	0.30352	
216	0	0.306266	
216	1	0.318356	
216	3	0.355626	
216	5	0.224554	
216	7	0.119823	
216	10	0.204658	
216	14	0.137077	
217	0	0.287233	
217	1	0.270972	
217	3	0.235048	
217	5	0.210268	
217	7	0.192253	
217	10	0.159621	
217	14	0.138017	
218	0	0.309023	
218	1	0.281122	
218	3	0.317118	
218	7	0.23766	
218	10	0.198508	
219	0	0.179337	
219	1	0.189789	
219	3	0.148877	
219	5	0.1949	
219	7	0.14008	
219	10	0.106485	
219	14	0.0729103	
220	0	0.261459	
220	1	0.21097	
220	5	0.149835	
220	10	0.134231	
220	14	0.0860184	
221	0	0.474988	
221	1	0.429547	
221	3	0.393515	
221	5	0.390503	
221	14	0.228353	
222	0	0.451435	
222	1	0.433555	
222	3	0.40524	
222	5	0.369755	
222	7	0.336344	
222	10	0.17041	
222	14	0.252883	
223	0	0.518222	
223	1	0.714771	
223	5	0.410017	
223	7	0.308676	
223	14	0.280198	
224	0	0.290937	
224	1	0.379853	
224	3	0.305836	
224	5	0.238869	
225	0	0.367113	
225	1	0.341408	
225	3	0.317176	
225	5	0.204072	
225	7	0.248085	
225	10	0.211297	
225	14	0.173478	
226	0	0.396662	
226	1	0.34559	
226	3	0.31753	
226	5	0.277744	
226	7	0.286036	
226	10	0.24755	
226	14	0.173785	
227	0	0.388696	
227	1	0.365944	
227	3	0.328914	
227	5	0.214777	
227	7	0.29302	
227	14	0.181838	
228	0	0.611991	
228	3	0.535192	
228	5	0.366152	
228	7	0.141214	
228	14	0.699566	
229	0	0.357064	
229	1	0.348735	
229	3	0.299124	
229	5	0.286635	
229	7	0.229043	
229	10	0.464102	
229	14	0.193132	
230	0	0.448184	
230	3	0.390435	
230	7	0.974015	
230	10	0.286186	
230	14	0.234869	
231	0	0.500005	
231	3	0.420218	
231	5	0.370012	
231	7	0.417995	
231	10	0.275764	
231	14	0.259865	
232	0	0.53714	
232	1	0.513788	
232	3	0.473938	
232	5	0.438288	
232	7	0.392225	
232	10	0.342985	
232	14	0.2928	
233	0	0.413578	
233	1	0.463358	
233	3	0.489715	
233	5	0.306371	
233	7	0.279368	
233	10	0.337535	
233	14	0.354091	
234	0	0.529249	
234	1	0.523631	
234	3	0.503011	
234	5	0.455522	
234	7	0.428305	
234	10	0.403178	
234	14	0.348659	
235	0	0.674893	
235	3	0.542044	
235	5	0.519916	
235	10	0.442774	
235	14	0.406874	
236	0	0.606712	
236	1	0.518632	
236	3	0.53001	
236	5	0.465293	
236	7	0.394634	
236	10	0.320307	
